Index,Cathode,O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs,Ref
1,N-3D-PCN,7.15,3.52,1546.1,0.5753,93.9857465670085,1.4883901429403,1.029,2,SO4,1.0,1.6,0.1,85.0,10.1016/j.jallcom.2023.172407
2,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,0.1,90.2,10.1016/j.jallcom.2022.164536
3,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,0.25,86.3,10.1016/j.jallcom.2022.164536
4,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,0.5,79.9,10.1016/j.jallcom.2022.164536
5,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,1.0,70.3,10.1016/j.jallcom.2022.164536
6,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,2.0,64.8,10.1016/j.jallcom.2022.164536
7,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,5.0,51.5,10.1016/j.jallcom.2022.164536
8,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,10.0,38.5,10.1016/j.jallcom.2022.164536
9,NPC,21.55,3.29,1140.8,0.86,20.9302325581395,3.01542776998597,0.82,1,OTf,2.5,1.8,20.0,23.3,10.1016/j.jallcom.2022.164536
10,N-HPC,8.2,5.3,879.0,0.447,60.6263982102908,2.03412969283276,2.27,2,SO4,1.0,1.6,0.1,136.8,10.1007/s12274-019-2521-6
11,N-HPC,8.2,5.3,879.0,0.447,60.6263982102908,2.03412969283276,2.27,2,SO4,1.0,1.6,0.5,110.9,10.1007/s12274-019-2521-6
12,N-HPC,8.2,5.3,879.0,0.447,60.6263982102908,2.03412969283276,2.27,2,SO4,1.0,1.6,1.0,102.6,10.1007/s12274-019-2521-6
13,N-HPC,8.2,5.3,879.0,0.447,60.6263982102908,2.03412969283276,2.27,2,SO4,1.0,1.6,5.0,76.1,10.1007/s12274-019-2521-6
14,N-HPC,8.2,5.3,879.0,0.447,60.6263982102908,2.03412969283276,2.27,2,SO4,1.0,1.6,10.0,66.5,10.1007/s12274-019-2521-6
15,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,0.05,109.66,10.1016/j.diamond.2023.110041
16,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,0.1,93.3,10.1016/j.diamond.2023.110041
17,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,0.2,84.6,10.1016/j.diamond.2023.110041
18,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,0.3,81.0,10.1016/j.diamond.2023.110041
19,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,0.5,76.3,10.1016/j.diamond.2023.110041
20,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,1.0,71.6,10.1016/j.diamond.2023.110041
21,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,2.0,67.6,10.1016/j.diamond.2023.110041
22,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,3.0,65.1,10.1016/j.diamond.2023.110041
23,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,5.0,62.4,10.1016/j.diamond.2023.110041
24,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,10.0,59.5,10.1016/j.diamond.2023.110041
25,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,15.0,58.4,10.1016/j.diamond.2023.110041
26,SS-0.7,5.68,1.49,1640.1,1.41,32.6241134751773,7.91,0.95,2,SO4,2.0,1.6,20.0,57.1,10.1016/j.diamond.2023.110041
27,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,0.1,133.7,10.1016/j.jcis.2023.03.024
28,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,0.2,102.5,10.1016/j.jcis.2023.03.024
29,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,0.5,84.3,10.1016/j.jcis.2023.03.024
30,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,1.0,75.0,10.1016/j.jcis.2023.03.024
31,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,2.0,69.1,10.1016/j.jcis.2023.03.024
32,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,5.0,61.7,10.1016/j.jcis.2023.03.024
33,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,10.0,56.6,10.1016/j.jcis.2023.03.024
34,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,20.0,51.9,10.1016/j.jcis.2023.03.024
35,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,50.0,45.6,10.1016/j.jcis.2023.03.024
36,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,100.0,39.7,10.1016/j.jcis.2023.03.024
37,LPCS-600,11.5,6.7,642.0,1.03,14.5631067961165,3.73,0.964,1,SO4,2.0,1.6,200.0,30.6,10.1016/j.jcis.2023.03.024
38,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,0.1,104.4,10.1016/j.jcis.2023.03.024
39,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,0.2,83.0,10.1016/j.jcis.2023.03.024
40,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,0.5,69.7,10.1016/j.jcis.2023.03.024
41,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,1.0,61.7,10.1016/j.jcis.2023.03.024
42,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,2.0,56.0,10.1016/j.jcis.2023.03.024
43,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,5.0,50.4,10.1016/j.jcis.2023.03.024
44,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,10.0,46.6,10.1016/j.jcis.2023.03.024
45,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,20.0,43.7,10.1016/j.jcis.2023.03.024
46,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,50.0,39.1,10.1016/j.jcis.2023.03.024
47,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,100.0,35.4,10.1016/j.jcis.2023.03.024
48,LPCS-700,14.9,3.1,620.0,0.86,15.1162790697674,3.66,0.962,1,SO4,2.0,1.6,200.0,30.4,10.1016/j.jcis.2023.03.024
49,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,0.1,92.4,10.1016/j.jcis.2023.03.024
50,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,0.2,73.1,10.1016/j.jcis.2023.03.024
51,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,0.5,62.4,10.1016/j.jcis.2023.03.024
52,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,1.0,56.0,10.1016/j.jcis.2023.03.024
